Vehicle ID,Violation Status,Violation Type,Bus Route ID,Violation Latitude,Violation Longitude,Violation Georeference,period
234c9489f23d63a0122543fb3e1e0026cc107bf1f5580be987ded83aef5d9fbc,VIOLATION ISSUED,MOBILE BUS LANE,M79+,40.772516,-73.95309,POINT (-73.95309 40.772516),before
154fddcf0a28a513f1267bbf2911ea07efac3dec946f7d01ad4e4646ebca0317,VIOLATION ISSUED,MOBILE BUS LANE,M79+,40.772624,-73.953336,POINT (-73.953336 40.772624),before
397fec520402ec58d1a63a784a8dadb00f9e5a4a2b18c3a9415e477a4a8c3451,VIOLATION ISSUED,MOBILE BUS LANE,M79+,40.782805,-73.973556,POINT (-73.973556 40.782805),before
c633bdba09cebaa2d8c1f782f704b89c9ba7db73a96fc46cd9ad532ba6fd21de,VIOLATION ISSUED,MOBILE BUS STOP,M34+,40.750839,-73.990286,POINT (-73.990286 40.750839),before
63f305dd6cf39379bb2bfc3329cc0ba7fede8a40f04ac8d5041ebef6db460409,VIOLATION ISSUED,MOBILE BUS LANE,M79+,40.773682,-73.955885,POINT (-73.955885 40.773682),before
2fb3179977b4ef6516d8d221e9e01a9ff3c8b6227cdc0ca2ad2ff1ecb153fc45,VIOLATION ISSUED,MOBILE BUS STOP,M34+,40.750788,-73.9902,POINT (-73.9902 40.750788),before
0492d1aad5a788dae9a39de857a8f6ecc988eddf13da319484bf56b4214a05ab,VIOLATION ISSUED,MOBILE BUS LANE,M79+,40.774649,-73.958088,POINT (-73.958088 40.774649),before
7f92d2931396556ac88693f0b8f92b847e9320767defe3dea094688fedcf0ef8,VIOLATION ISSUED,MOBILE BUS STOP,M34+,40.750803,-73.990149,POINT (-73.990149 40.750803),before
e69fd8e2b729565c52f2e41b6566871c7f09293f92bf66b4289440423757cae0,VIOLATION ISSUED,MOBILE BUS LANE,M79+,40.774537,-73.957843,POINT (-73.957843 40.774537),before
c1eeac75c7ed7be4d1c55e1ffe7b09e90df700cbc8e58c52d544e155a76ea664,VIOLATION ISSUED,MOBILE BUS LANE,M79+,40.772573,-73.953188,POINT (-73.953188 40.772573),before
6dc5cbc48b3ac01f9829311847809bcb7f6c0edbc399ef40f494e651cbbb8eae,VIOLATION ISSUED,MOBILE BUS LANE,M79+,40.774789,-73.958519,POINT (-73.958519 40.774789),before
297c3d3d505b04611ed0a3dd4f34f6dceb7db79a55884178b7cb993a8cab90c7,VIOLATION ISSUED,MOBILE BUS LANE,M79+,40.772704,-73.953577,POINT (-73.953577 40.772704),before
43d090e7fef9d20ce43fbff42c22fe3ec3a9eaee5c09a41a209a04ecbdd287c3,VIOLATION ISSUED,MOBILE BUS LANE,M79+,40.77406,-73.956729,POINT (-73.956729 40.77406),before
7450e72a93f91a480602e0d50eff267f936ded749fbfa7d520d237022bb8297a,VIOLATION ISSUED,MOBILE BUS LANE,M34+,40.746078,-73.979045,POINT (-73.979045 40.746078),before
3d6e55d4c21d0e57c1855832500dcf487783058b7fd5ccae5bafe063aa88d445,VIOLATION ISSUED,MOBILE BUS STOP,M79+,40.771629,-73.950788,POINT (-73.950788 40.771629),before
a4431d767842d56126dcaa973f05895fa7839f4c2422a02d1b953ba3024529c8,VIOLATION ISSUED,MOBILE BUS LANE,M79+,40.774671,-73.958079,POINT (-73.958079 40.774671),before
26c251f30573d60594e6d13c05818ecc901d160ac9d0cdf06feae628253be2c5,VIOLATION ISSUED,MOBILE BUS STOP,M79+,40.782891,-73.977687,POINT (-73.977687 40.782891),before
c3478a16d7d2cb85d8ffcda9295595736f8f48e71ca42a6689d8e64879225f27,VIOLATION ISSUED,MOBILE BUS LANE,M79+,40.77521,-73.959526,POINT (-73.959526 40.77521),before
ef49adb6bc24395301f981a226c03cf0205e9af30a04faf93af0cd43322abf85,VIOLATION ISSUED,MOBILE BUS LANE,M79+,40.774101,-73.95678,POINT (-73.95678 40.774101),before
80e95e7ed7b4b51bf9ab25ad2c39d4fbf3a66a7eab4808d91d7a466c6e1f3ca3,VIOLATION ISSUED,MOBILE BUS LANE,M79+,40.782569,-73.973044,POINT (-73.973044 40.782569),before
0b9b824ac1100a26f2f937d1ad187b66eafef1f2f75fc7bf86ef320ae03b4964,VIOLATION ISSUED,MOBILE BUS LANE,M79+,40.774759,-73.958459,POINT (-73.958459 40.774759),before
